Format Version,1.22,Take Name,walk straight forwar RHG 2019-04-15 07.33.32 PM_003,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 07.36.30.074 下午,Total Frames in Take,899,Total Exported Frames,899,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C8370,C8370,C8370,C8380,C8380,C8380,C83F0,C83F0,C83F0,C8410,C8410,C8410,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
0,0,150.518021,348.414978,-202.332703,-163.539047,331.554688,-168.086868,-6.291603,1290.930664,-21.777908,4.642192,1287.608032,-258.842957,,,,,,,,,,,,,,,,,,,
1,0.008333,150.516769,348.416016,-202.313492,-163.511765,331.567657,-168.089233,-6.270228,1290.963745,-21.772808,4.649426,1287.583618,-258.832092,,,,,,,,,,,,,,,,,,,
2,0.016667,150.515381,348.416962,-202.293716,-163.484711,331.580322,-168.091125,-6.247925,1290.996704,-21.767899,4.658303,1287.559204,-258.821381,,,,,,,,,,,,,,,,,,,
3,0.025,150.513779,348.417816,-202.272934,-163.458115,331.592438,-168.091965,-6.223686,1291.028931,-21.763371,4.670296,1287.53479,-258.810913,,,,,,,,,,,,,,,,,,,
4,0.033333,150.511795,348.418549,-202.250824,-163.432358,331.603851,-168.091049,-6.196403,1291.060303,-21.759382,4.686566,1287.51062,-258.800995,,,,,,,,,,,,,,,,,,,
5,0.041667,150.509293,348.419098,-202.22728,-163.407806,331.614441,-168.087479,-6.16493,1291.090576,-21.756054,4.707823,1287.48645,-258.791901,,,,,,,,,,,,,,,,,,,
6,0.05,150.506104,348.419403,-202.202377,-163.384872,331.624115,-168.080429,-6.128181,1291.119385,-21.753487,4.734226,1287.46228,-258.783966,,,,,,,,,,,,,,,,,,,
7,0.058333,150.502228,348.419464,-202.176346,-163.363937,331.632935,-168.06929,-6.085223,1291.146362,-21.751734,4.765404,1287.4375,-258.777466,,,,,,,,,,,,,,,,,,,
8,0.066667,150.497787,348.419281,-202.14946,-163.345383,331.640961,-168.053741,-6.035328,1291.171631,-21.750795,4.800603,1287.412109,-258.772644,,,,,,,,,,,,,,,,,,,
9,0.075,150.492996,348.418976,-202.122055,-163.329529,331.648346,-168.033783,-5.978062,1291.194946,-21.750616,4.838906,1287.385254,-258.769562,,,,,,,,,,,,,,,,,,,
10,0.083333,150.487946,348.41864,-202.094437,-163.316574,331.655304,-168.009628,-5.91336,1291.216431,-21.751173,4.879444,1287.356445,-258.76828,,,,,,,,,,,,,,,,,,,
11,0.091667,150.482758,348.418518,-202.066895,-163.306534,331.662018,-167.981705,-5.841543,1291.23584,-21.752537,4.921546,1287.325439,-258.768799,,,,,,,,,,,,,,,,,,,
12,0.1,150.477539,348.418732,-202.039673,-163.299255,331.668671,-167.9505,-5.763242,1291.253418,-21.754913,4.964803,1287.291504,-258.771057,,,,,,,,,,,,,,,,,,,
13,0.108333,150.472321,348.419434,-202.013016,-163.294449,331.675415,-167.916611,-5.679273,1291.269043,-21.758595,5.009046,1287.254761,-258.775055,,,,,,,,,,,,,,,,,,,
14,0.116667,150.466934,348.420563,-201.987076,-163.291641,331.682312,-167.880676,-5.590565,1291.282715,-21.763872,5.054314,1287.215454,-258.780792,,,,,,,,,,,,,,,,,,,
15,0.125,150.461365,348.422028,-201.961899,-163.290314,331.689453,-167.843323,-5.498085,1291.294434,-21.770998,5.100825,1287.173706,-258.788391,,,,,,,,,,,,,,,,,,,
16,0.133333,150.455612,348.423706,-201.937485,-163.28981,331.696777,-167.805267,-5.402767,1291.304077,-21.780148,5.148896,1287.130127,-258.797699,,,,,,,,,,,,,,,,,,,
17,0.141667,150.449844,348.425568,-201.913635,-163.289551,331.704132,-167.767044,-5.305465,1291.311768,-21.791386,5.198853,1287.085205,-258.808746,,,,,,,,,,,,,,,,,,,
18,0.15,150.44429,348.427521,-201.890167,-163.289017,331.711395,-167.72908,-5.206952,1291.317505,-21.804653,5.250968,1287.039551,-258.821136,,,,,,,,,,,,,,,,,,,
19,0.158333,150.439163,348.429474,-201.866928,-163.287903,331.718292,-167.691574,-5.107905,1291.321533,-21.819738,5.305417,1286.99353,-258.834564,,,,,,,,,,,,,,,,,,,
20,0.166667,150.434601,348.431122,-201.843796,-163.286102,331.724854,-167.654541,-5.008935,1291.324341,-21.8363,5.362283,1286.947876,-258.848541,,,,,,,,,,,,,,,,,,,
21,0.175,150.430756,348.43219,-201.820694,-163.283569,331.730927,-167.617935,-4.910625,1291.326416,-21.853886,5.421614,1286.902954,-258.862549,,,,,,,,,,,,,,,,,,,
22,0.183333,150.42778,348.432556,-201.79747,-163.28035,331.736511,-167.581589,-4.813533,1291.327881,-21.872011,5.483455,1286.859009,-258.876251,,,,,,,,,,,,,,,,,,,
23,0.191667,150.425842,348.432098,-201.774033,-163.276443,331.741577,-167.545349,-4.718159,1291.329224,-21.890182,5.547866,1286.816772,-258.889343,,,,,,,,,,,,,,,,,,,
24,0.2,150.425064,348.430847,-201.750305,-163.271881,331.746124,-167.509171,-4.62492,1291.330933,-21.907936,5.614925,1286.776245,-258.901611,,,,,,,,,,,,,,,,,,,
25,0.208333,150.425476,348.428741,-201.726379,-163.266586,331.750244,-167.473129,-4.534131,1291.333008,-21.924873,5.684709,1286.738281,-258.912903,,,,,,,,,,,,,,,,,,,
26,0.216667,150.427124,348.425964,-201.702377,-163.260529,331.754028,-167.437454,-4.446001,1291.335449,-21.940678,5.757239,1286.702881,-258.923157,,,,,,,,,,,,,,,,,,,
27,0.225,150.429977,348.422516,-201.678574,-163.253601,331.757568,-167.402466,-4.360641,1291.338135,-21.955162,5.832421,1286.670044,-258.93222,,,,,,,,,,,,,,,,,,,
28,0.233333,150.434021,348.41861,-201.655304,-163.245789,331.761078,-167.36853,-4.278035,1291.340576,-21.968239,5.910063,1286.640137,-258.940155,,,,,,,,,,,,,,,,,,,
29,0.241667,150.43924,348.414459,-201.632919,-163.237076,331.764709,-167.336105,-4.197989,1291.342773,-21.979853,5.989952,1286.612793,-258.946808,,,,,,,,,,,,,,,,,,,
30,0.25,150.445587,348.410095,-201.611847,-163.22757,331.768707,-167.305664,-4.120168,1291.343994,-21.989979,6.071908,1286.587891,-258.952026,,,,,,,,,,,,,,,,,,,
31,0.258333,150.452942,348.40567,-201.592468,-163.217331,331.773254,-167.277679,-4.044193,1291.344238,-21.998585,6.155815,1286.565063,-258.955719,,,,,,,,,,,,,,,,,,,
32,0.266667,150.461227,348.401093,-201.575165,-163.206406,331.778412,-167.252518,-3.969681,1291.343384,-22.005613,6.24163,1286.543945,-258.957764,,,,,,,,,,,,,,,,,,,
33,0.275,150.470413,348.396576,-201.560074,-163.194763,331.78418,-167.230392,-3.896241,1291.340942,-22.010963,6.329389,1286.524292,-258.958099,,,,,,,,,,,,,,,,,,,
34,0.283333,150.480484,348.392151,-201.547348,-163.182449,331.790558,-167.21138,-3.823518,1291.337402,-22.0145,6.419175,1286.505981,-258.956665,,,,,,,,,,,,,,,,,,,
35,0.291667,150.491333,348.387939,-201.537064,-163.16954,331.797577,-167.195358,-3.751231,1291.332642,-22.016115,6.511047,1286.488647,-258.953583,,,,,,,,,,,,,,,,,,,
36,0.3,150.502792,348.383881,-201.529205,-163.156082,331.805176,-167.182068,-3.679202,1291.327026,-22.015812,6.604967,1286.472656,-258.948975,,,,,,,,,,,,,,,,,,,
37,0.308333,150.514694,348.379913,-201.523743,-163.142151,331.813385,-167.171173,-3.607368,1291.320801,-22.013731,6.700752,1286.458008,-258.943146,,,,,,,,,,,,,,,,,,,
38,0.316667,150.526932,348.376007,-201.520493,-163.127731,331.822144,-167.162292,-3.535728,1291.313965,-22.010113,6.798128,1286.445068,-258.936279,,,,,,,,,,,,,,,,,,,
